NO_REGIAO;TP_DIMENSAO;TP_CATEGORIA_ADMINISTRATIVA;QT_VG_TOTAL;QT_VG_NOVA;QT_ING;QT_CONC;QT_INSCRITO_TOTAL
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;2;4;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;6;0;0
Centro-Oeste;2;4;0;0;34;3;0
Centro-Oeste;2;5;0;0;2;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;5;0;0;6;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;9;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;8;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;30;0;0
Centro-Oeste;2;4;0;0;19;16;0
Centro-Oeste;2;4;0;0;23;9;0
Centro-Oeste;2;4;0;0;46;6;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;8;1;0
Centro-Oeste;2;4;0;0;10;1;0
Centro-Oeste;2;4;0;0;13;0;0
Centro-Oeste;2;4;0;0;46;4;0
Centro-Oeste;2;4;0;0;22;9;0
Centro-Oeste;2;4;0;0;45;13;0
Centro-Oeste;2;4;0;0;12;0;0
Centro-Oeste;2;4;0;0;14;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;216;0;0
Centro-Oeste;2;4;0;0;1;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;3;2;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;2;0
Centro-Oeste;2;4;0;0;48;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;5;0;0;48;10;0
Centro-Oeste;2;5;0;0;6;2;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;4;0;0;11;6;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;1;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;1;0
Centro-Oeste;2;4;0;0;7;0;0
