NO_REGIAO;TP_DIMENSAO;TP_CATEGORIA_ADMINISTRATIVA;QT_VG_TOTAL;QT_VG_NOVA;QT_ING;QT_CONC;QT_INSCRITO_TOTAL
Centro-Oeste;2;4;0;0;13;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;7;0;0
Centro-Oeste;2;5;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;1;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;11;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;6;0;0
Nordeste;2;4;0;0;21;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;9;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;4;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;6;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;10;0;0
Nordeste;2;4;0;0;4;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;5;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;5;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;3;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;2;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;6;1;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;1;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;7;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;5;0;0;0;0;0
Nordeste;2;5;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;5;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;5;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;1;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;4;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;5;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;1;4;1;1;1;0;5
Nordeste;2;4;0;0;6;1;0
Nordeste;2;4;0;0;21;4;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;11;1;0
Nordeste;2;4;0;0;2;1;0
Nordeste;2;4;0;0;13;2;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;4;0;0;0;10;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;4;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;5;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;10;1;0
Nordeste;2;4;0;0;4;1;0
Nordeste;2;4;0;0;4;2;0
Nordeste;2;4;0;0;31;0;0
Nordeste;2;4;0;0;5;1;0
Nordeste;2;4;0;0;15;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;6;4;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;25;0;0
Nordeste;2;5;0;0;39;0;0
Nordeste;2;5;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;2;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;2;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;5;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;2;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;1;1;43;40;40;6;139
Nordeste;2;4;0;0;10;5;0
Nordeste;2;4;0;0;35;8;0
Nordeste;2;4;0;0;4;0;0
Nordeste;2;4;0;0;17;1;0
Nordeste;2;4;0;0;7;0;0
Nordeste;2;4;0;0;11;2;0
Nordeste;2;4;0;0;3;2;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;7;0;0
Nordeste;2;5;0;0;4;0;0
Nordeste;2;5;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;9;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;16;3;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;3;2;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;7;3;0
Nordeste;2;4;0;0;4;0;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;4;0;0;11;0;0
Nordeste;2;4;0;0;7;2;0
Nordeste;2;4;0;0;41;5;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;32;0;0
Nordeste;2;4;0;0;11;0;0
Nordeste;2;4;0;0;42;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;5;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;15;2;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;37;0;0
Nordeste;2;5;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;1;1;40;30;24;0;177
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;4;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;5;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;2;0
Nordeste;2;4;0;0;4;1;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;5;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;5;0;0
Nordeste;2;4;0;0;3;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;5;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;4;1;0
Nordeste;2;5;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;1;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;4;0;0
Nordeste;2;5;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;1;1;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;0;0;0
Nordeste;2;4;0;0;13;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;3;0;0
Nordeste;2;4;0;0;2;1;0
Nordeste;2;5;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;2;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;0;1;0
Nordeste;2;4;0;0;1;0;0
Nordeste;2;4;0;0;4;1;0
